Codi,Nom,Codi comarca,Nom comarca,UTM X,UTM Y,Longitud,Latitud,Georeferència,LIMADM_MUNICIPI,LIMADM COMARCA
439044,"Aldea, l'",09,Baix Ebre,299087.7533,4513273.673,0.620293809,40.74589422,POINT (0.620293809 40.74589422),216,40
171557,Salt,20,Gironès,482771.8501,4647027.408,2.792056075,41.97505395,POINT (2.792056075 41.97505395),23,14
250791,Cubells,23,Noguera,330421.1362,4635444.494,0.95713334,41.85274554,POINT (0.95713334 41.85274554),651,15
081081,Lliçà de Vall,41,Vallès Oriental,436576.0635,4604125.64,2.239084658,41.58630762,POINT (2.239084658 41.58630762),594,22
170084,Anglès,34,Selva,469981.4259,4645045.45,2.637779014,41.95681994,POINT (2.637779014 41.95681994),896,20
081897,Sant Pere Sallavinera,06,Anoia,381287.1096,4621508.087,1.572465286,41.73652419,POINT (1.572465286 41.73652419),787,24
250077,Albatàrrec,33,Segrià,300355.8601,4605146.675,0.605376149,41.57307862,POINT (0.605376149 41.57307862),657,21
171365,Pontós,02,Alt Empordà,493130.3732,4670512.547,2.916807482,42.18673195,POINT (2.916807482 42.18673195),293,6
080446,Capellades,06,Anoia,390365.3995,4598529.792,1.685814119,41.53091212,POINT (1.685814119 41.53091212),708,24
082310,Sant Pere de Ribes,17,Garraf,397142.3954,4568602.82,1.772114573,41.26230332,POINT (1.772114573 41.26230332),541,34
082704,Sitges,17,Garraf,400428.7148,4565534.855,1.811838248,41.23508519,POINT (1.811838248 41.23508519),457,34
251214,Les,39,Aran,312758.4569,4742276.697,0.709878949,42.81015343,POINT (0.709878949 42.81015343),178,1
081509,Orís,24,Osona,437056.4618,4656520.718,2.239282559,42.05822395,POINT (2.239282559 42.05822395),100,13
250539,Benavent de Segrià,33,Segrià,303155.8413,4618556.062,0.634522237,41.69445163,POINT (0.634522237 41.69445163),593,21
082303,Premià de Dalt,21,Maresme,445126.0097,4595284.562,2.34246115,41.50731101,POINT (2.34246115 41.50731101),947,25
251863,Riner,35,Solsonès,377644.2545,4641351.145,1.524576147,41.91463777,POINT (1.524576147 41.91463777),43,12
082883,Torrelles de Foix,03,Alt Penedès,380353.5035,4582870.659,1.568940183,41.38847247,POINT (1.568940183 41.38847247),721,32
252496,Vilanova de l'Aguda,23,Noguera,355068.9146,4641356.346,1.252463404,41.91086491,POINT (1.252463404 41.91086491),49,15
171714,Sant Llorenç de la Muga,02,Alt Empordà,482703.9561,4685402.24,2.790097926,42.32067057,POINT (2.790097926 42.32067057),239,6
082515,Santa Margarida i els Monjos,03,Alt Penedès,388107.7862,4575295.801,1.663058723,41.32137517,POINT (1.663058723 41.32137517),504,32
252154,Talarn,25,Pallars Jussà,326581.4122,4672546.581,0.899943075,42.18585502,POINT (0.899943075 42.18585502),370,9
170293,Boadella i les Escaules,02,Alt Empordà,488263.7691,4686547.376,2.857547428,42.33108746,POINT (2.857547428 42.33108746),175,6
430691,Gratallops,29,Priorat,313622.5581,4562634.509,0.777456951,41.19363821,POINT (0.777456951 41.19363821),461,35
431726,Vilaverd,16,Conca de Barberà,347492.4068,4577756.342,1.177353406,41.33686977,POINT (1.177353406 41.33686977),489,28
081629,"Hostalets de Pierola, els",06,Anoia,397455.962,4598745.929,1.770752125,41.53379831,POINT (1.770752125 41.53379831),700,24
080522,Castellar de n'Hug,14,Berguedà,418968.6244,4681651.894,2.017208352,42.28287514,POINT (2.017208352 42.28287514),260,8
431055,"Piles, les",16,Conca de Barberà,361657.498,4596016.23,1.342395363,41.50383442,POINT (1.342395363 41.50383442),888,28
081332,Montmaneu,06,Anoia,367918.2323,4609482.007,1.414420497,41.62613551,POINT (1.414420497 41.62613551),903,24
170335,Caldes de Malavella,34,Selva,484205.4273,4631915.651,2.809763769,41.83897595,POINT (2.809763769 41.83897595),654,20
252213,Tírvia,26,Pallars Sobirà,355656.7296,4708471.416,1.242875431,42.51515105,POINT (1.242875431 42.51515105),335,2
083054,Vilafranca del Penedès,03,Alt Penedès,391009.0313,4578041.386,1.697222865,41.34649761,POINT (1.697222865 41.34649761),940,32
431114,"Pobla de Montornès, la",36,Tarragonès,367014.6194,4559820.099,1.414486274,41.17882324,POINT (1.414486274 41.17882324),465,37
431346,"Rourell, el",01,Alt Camp,350619.4659,4565252.106,1.217774332,41.2248745,POINT (1.217774332 41.2248745),454,30
172057,Ullastret,10,Baix Empordà,505664.5177,4649863.187,3.068398309,42.00076286,POINT (3.068398309 42.00076286),139,16
080484,Carme,06,Anoia,385128.8219,4598609.762,1.62304521,41.53089786,POINT (1.62304521 41.53089786),820,24
430043,Alcanar,22,Montsià,286762.4333,4491059.459,0.481966932,40.5428638,POINT (0.481966932 40.5428638),228,41
081189,"Masnou, el",21,Maresme,443144.9831,4592174.572,2.319018119,41.47916172,POINT (2.319018119 41.47916172),96,25
431592,Vallfogona de Riucorb,16,Conca de Barberà,352930.9237,4602771.273,1.236228855,41.56309674,POINT (1.236228855 41.56309674),97,28
430120,Altafulla,36,Tarragonès,363786.0191,4555820.481,1.376896997,41.14227297,POINT (1.376896997 41.14227297),518,37
